datetime,open,high,low,close,volume
2017-08-17 04:00:00,4261.48,4313.62,4261.32,4308.83,47.18
2017-08-17 05:00:00,4308.83,4328.69,4291.37,4315.32,23.23
2017-08-17 06:00:00,4315.32,4345.45,4309.37,4324.35,7.23
2017-08-17 07:00:00,4324.35,4349.99,4287.41,4349.99,4.443
2017-08-17 08:00:00,4349.99,4377.85,4333.32,4360.69,0.9728
2017-08-17 09:00:00,4360.69,4445.78,4360.0,4444.0,10.76
2017-08-17 10:00:00,4444.0,4470.0,4399.81,4460.0,24.87
2017-08-17 11:00:00,4460.0,4485.39,4427.3,4427.3,27.02
2017-08-17 12:00:00,4427.3,4449.56,4411.0,4411.0,23.03
2017-08-17 13:00:00,4411.0,4459.0,4411.0,4459.0,31.31
2017-08-17 14:00:00,4459.0,4485.39,4435.93,4470.82,51.74
2017-08-17 15:00:00,4470.82,4470.82,4333.42,4352.34,68.48
2017-08-17 16:00:00,4352.34,4354.35,4255.3,4354.18,67.46
2017-08-17 17:00:00,4354.18,4354.84,4235.45,4289.24,59.66
2017-08-17 18:00:00,4289.24,4302.45,4218.68,4256.97,51.28
2017-08-17 19:00:00,4256.97,4335.3,4200.74,4325.23,46.71
2017-08-17 20:00:00,4325.23,4354.84,4258.56,4346.74,48.98
2017-08-17 21:00:00,4346.74,4369.69,4309.23,4333.55,61.77
2017-08-17 22:00:00,4333.55,4359.13,4310.0,4336.8,57.38
2017-08-17 23:00:00,4336.8,4337.38,4280.82,4285.08,81.65
2017-08-18 00:00:00,4285.08,4340.62,4228.76,4286.53,82.44
2017-08-18 01:00:00,4286.53,4286.53,4134.61,4243.59,75.68
2017-08-18 02:00:00,4243.59,4298.64,4234.0,4267.59,54.07
2017-08-18 03:00:00,4267.59,4308.7,4234.0,4292.39,64.0
2017-08-18 04:00:00,4292.39,4292.39,4234.43,4287.92,50.8
2017-08-18 05:00:00,4287.92,4340.62,4250.04,4313.56,64.17
2017-08-18 06:00:00,4313.56,4316.98,4247.75,4279.46,64.24
2017-08-18 07:00:00,4279.46,4304.67,4270.48,4300.25,69.19
2017-08-18 08:00:00,4300.25,4320.71,4259.85,4282.73,74.83
2017-08-18 09:00:00,4282.73,4327.25,4265.33,4304.15,45.65
2017-08-18 10:00:00,4304.15,4371.52,4296.04,4356.31,51.56
2017-08-18 11:00:00,4356.31,4357.37,4302.72,4340.31,24.09
2017-08-18 12:00:00,4340.31,4340.31,4287.79,4331.71,15.12
2017-08-18 13:00:00,4331.71,4331.71,4221.05,4293.09,46.53
2017-08-18 14:00:00,4293.09,4293.09,4193.7,4259.4,74.37
2017-08-18 15:00:00,4259.4,4259.4,4200.0,4236.89,39.95
2017-08-18 16:00:00,4236.89,4283.79,4234.54,4250.34,45.04
2017-08-18 17:00:00,4250.34,4250.34,4066.53,4193.35,62.69
2017-08-18 18:00:00,4193.35,4297.75,4117.41,4117.41,25.32
2017-08-18 19:00:00,4117.41,4136.48,4015.7,4136.28,60.6
2017-08-18 20:00:00,4136.28,4136.28,3981.13,4021.11,19.97
2017-08-18 21:00:00,4021.11,4021.11,3938.77,3975.69,14.74
2017-08-18 22:00:00,3975.69,4131.83,3938.77,4113.75,29.91
